datetime,stationA,stationB,total,Available
2024-02-15 05:00:00,22,22,44,44.0
2024-02-15 06:00:00,22,22,44,44.0
2024-02-15 07:00:00,18,24,42,42.0
2024-02-15 08:00:00,22,22,44,44.0
2024-02-15 09:00:00,8,8,16,16.0
2024-02-15 10:00:00,22,8,30,30.0
2024-02-15 11:00:00,16,16,32,32.0
2024-02-15 12:00:00,18,22,40,40.0
2024-02-15 13:00:00,16,14,30,30.0
2024-02-15 14:00:00,12,16,28,28.0
2024-02-15 15:00:00,14,16,30,30.0
2024-02-15 16:00:00,12,14,26,26.0
2024-02-15 17:00:00,8,20,28,28.0
2024-02-15 18:00:00,6,16,22,22.0
2024-02-15 19:00:00,6,16,22,22.0
2024-02-15 20:00:00,16,18,34,34.0
2024-02-15 21:00:00,12,10,22,22.0
2024-02-15 22:00:00,10,10,20,20.0
2024-02-15 23:00:00,12,12,24,24.0
2024-02-16 00:00:00,12,10,22,22.0
2024-02-16 01:00:00,14,16,30,30.0
2024-02-16 02:00:00,14,16,30,30.0
2024-02-16 03:00:00,16,14,30,30.0
2024-02-16 04:00:00,18,16,34,34.0
2024-02-16 05:00:00,16,18,34,34.0
2024-02-16 06:00:00,18,16,34,34.0
2024-02-16 07:00:00,14,18,32,32.0
2024-02-16 08:00:00,14,12,26,26.0
2024-02-16 09:00:00,12,16,28,28.0
2024-02-16 10:00:00,8,14,22,22.0
2024-02-16 11:00:00,4,16,20,20.0
2024-02-16 12:00:00,10,14,24,24.0
2024-02-16 13:00:00,14,14,28,28.0
2024-02-16 14:00:00,12,12,24,24.0
2024-02-16 15:00:00,14,18,32,32.0
2024-02-16 16:00:00,14,10,24,24.0
2024-02-16 17:00:00,10,16,26,26.0
2024-02-16 18:00:00,4,16,20,20.0
2024-02-16 19:00:00,8,12,20,20.0
2024-02-16 20:00:00,14,14,28,28.0
2024-02-16 21:00:00,18,16,34,34.0
2024-02-16 22:00:00,12,6,18,18.0
2024-02-16 23:00:00,10,10,20,20.0
2024-02-17 00:00:00,12,14,26,26.0
2024-02-17 01:00:00,12,20,32,32.0
2024-02-17 02:00:00,14,20,34,34.0
2024-02-17 03:00:00,16,20,36,36.0
2024-02-17 04:00:00,18,20,38,38.0
2024-02-17 05:00:00,18,18,36,36.0
2024-02-17 06:00:00,18,20,38,38.0
2024-02-17 07:00:00,14,18,32,32.0
2024-02-17 08:00:00,12,12,24,24.0
2024-02-17 09:00:00,6,12,18,18.0
2024-02-17 10:00:00,4,8,12,12.0
2024-02-17 11:00:00,8,16,24,24.0
2024-02-17 12:00:00,14,18,32,32.0
2024-02-17 13:00:00,8,16,24,24.0
2024-02-17 14:00:00,8,16,24,24.0
2024-02-17 15:00:00,12,16,28,28.0
2024-02-17 16:00:00,0,18,18,18.0
