Unnamed: 0,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
13,13~14,11.07,142.39,16.93,76.49,0.23,1.81,71.86,10.86,0.7,---,5.47,---,93.75,1.31,5.58,0.01,42.81,29.5,45.09,4.69,5.2,11.84,0.0,4.08,---,30.82,105.75,155.5,2024-07-12 13:00:00
14,14~15,10.87,139.08,17.66,77.14,0.24,2.38,75.39,11.66,0.72,---,9.96,---,92.87,1.12,5.01,0.16,35.01,25.67,47.2,4.78,5.37,13.03,0.0,6.66,---,27.59,103.87,147.01,2024-07-12 14:00:00
15,15~16,11.0,137.44,16.5,71.73,0.24,2.43,61.7,13.02,0.7,---,6.45,---,96.88,1.69,4.65,0.09,37.75,25.26,72.61,4.75,5.76,11.69,0.0,19.3,---,26.69,100.86,144.72,2024-07-12 15:00:00
16,16~17,13.25,140.26,16.56,68.91,0.25,0.98,54.25,13.7,0.8,---,5.37,---,98.07,1.14,5.14,0.0,35.15,24.96,42.94,4.37,4.19,9.22,0.0,16.0,---,23.88,99.8,145.02,2024-07-12 16:00:00
17,17~18,13.44,137.34,15.57,61.03,0.24,0.4,69.51,10.81,1.21,---,4.47,---,92.18,1.2,4.68,0.17,40.36,25.53,45.39,3.85,4.0,8.06,0.06,4.23,---,15.08,99.04,133.96,2024-07-12 17:00:00
18,18~19,12.25,126.94,11.76,50.84,0.4,0.43,66.62,9.2,1.66,---,4.0,---,88.64,1.61,4.11,0.17,38.78,28.66,38.73,3.65,3.7,7.53,5.14,0.96,---,10.14,88.77,125.66,2024-07-12 18:00:00
19,19~20,12.19,115.25,11.06,43.83,0.49,0.33,62.99,8.51,1.75,---,4.59,---,86.34,3.56,3.83,0.16,43.56,32.0,44.03,3.63,3.44,7.32,4.83,0.9,---,10.09,85.2,126.85,2024-07-12 19:00:00
20,20~21,11.68,108.34,11.03,37.55,0.5,0.26,65.41,4.55,1.73,---,4.62,---,83.24,3.82,3.56,0.17,43.92,43.78,54.28,3.44,3.07,6.49,4.72,0.79,---,10.68,85.04,121.16,2024-07-12 20:00:00
21,21~22,12.82,96.59,11.0,36.7,0.49,0.11,50.53,5.09,1.74,---,4.26,---,79.74,3.74,3.45,0.17,53.68,44.38,118.46,3.4,2.87,6.56,4.68,0.97,---,9.41,83.79,115.43,2024-07-12 21:00:00
22,22~23,15.31,82.91,11.19,35.45,0.48,0.11,17.3,4.46,1.72,---,4.38,---,72.7,3.87,3.66,0.16,63.85,47.21,116.13,3.32,2.83,6.88,4.65,0.74,---,9.94,83.15,108.0,2024-07-12 22:00:00
23,23~24,13.25,80.65,10.5,33.38,0.48,0.1,13.61,4.27,1.69,---,3.12,---,71.43,3.2,3.3,0.17,69.15,50.72,64.32,3.25,2.76,6.4,4.63,1.21,---,9.78,82.05,106.35,2024-07-12 23:00:00
0,0~1,16.62,75.32,9.9,33.2,0.48,0.11,13.36,4.08,1.71,---,2.53,---,69.65,2.89,3.75,0.16,75.87,48.51,63.98,3.15,2.68,6.1,4.61,0.83,---,9.31,81.86,105.86,2024-07-13 00:00:00
1,1~2,13.57,73.09,10.53,33.02,0.47,0.12,12.73,3.76,1.74,---,2.5,---,70.64,1.54,3.42,0.17,68.17,42.52,63.98,3.1,2.75,5.65,4.61,1.63,---,9.5,81.8,106.72,2024-07-13 01:00:00
2,2~3,9.81,74.03,9.9,33.25,0.48,0.1,13.67,3.26,1.69,---,2.41,---,70.07,1.09,3.33,0.17,62.31,40.87,53.3,3.18,2.69,5.79,4.62,1.0,---,9.53,81.81,104.97,2024-07-13 02:00:00
3,3~4,8.87,73.04,10.09,33.25,0.49,0.08,14.16,2.85,1.73,---,2.52,---,70.3,1.09,3.41,0.16,56.65,37.04,49.87,2.66,2.76,5.35,4.62,0.75,---,8.85,81.46,104.99,2024-07-13 03:00:00
4,4~5,8.13,71.19,9.92,32.56,0.48,0.09,14.71,2.91,1.72,---,2.45,---,69.97,1.16,3.45,0.17,52.5,37.14,48.85,2.62,2.75,5.65,4.61,0.95,---,9.66,81.19,104.86,2024-07-13 04:00:00
5,5~6,7.37,69.99,10.27,32.38,0.33,0.05,14.27,2.83,1.57,---,2.4,---,70.3,1.29,3.45,0.16,49.74,37.75,67.78,2.63,2.82,5.72,1.99,4.15,---,9.3,81.14,105.44,2024-07-13 05:00:00
6,6~7,6.75,72.25,10.01,32.81,0.21,0.07,18.5,2.31,0.78,---,2.28,---,72.54,1.03,3.45,0.17,50.67,33.15,70.9,2.69,3.32,5.59,0.0,11.28,---,8.63,81.47,106.64,2024-07-13 06:00:00
7,7~8,7.75,73.06,10.09,34.14,0.22,0.08,20.68,2.12,0.8,---,4.84,---,73.45,1.1,3.53,0.07,53.23,32.96,47.15,2.68,3.75,6.32,0.0,3.43,---,9.75,82.51,109.42,2024-07-13 07:00:00
8,8~9,8.07,75.6,10.25,36.56,0.22,0.07,20.25,2.21,0.72,---,7.94,---,80.35,1.25,4.21,0.0,53.84,32.35,49.44,3.1,4.06,7.12,0.0,0.92,---,9.47,83.1,114.56,2024-07-13 08:00:00
9,9~10,11.18,77.75,12.05,38.33,0.22,0.06,21.99,2.61,0.76,---,6.69,---,86.14,1.11,4.48,0.0,53.98,34.45,52.75,3.22,4.88,10.93,0.0,0.77,---,9.78,84.44,117.94,2024-07-13 09:00:00
10,10~11,8.63,95.68,15.38,41.36,0.22,0.06,20.96,10.48,0.75,---,7.54,---,90.36,1.23,3.73,0.0,54.58,39.42,55.39,3.28,4.94,11.04,0.0,1.16,---,10.56,84.78,120.58,2024-07-13 10:00:00
11,11~12,10.69,110.91,16.05,45.26,0.22,0.27,21.5,8.39,0.69,---,7.18,---,97.61,1.04,5.66,0.0,57.54,38.34,53.5,3.28,5.0,11.93,0.0,0.79,---,10.48,86.35,122.92,2024-07-13 11:00:00
12,12~13,11.81,107.53,16.51,46.55,0.23,0.87,25.86,7.73,0.75,---,8.53,---,96.83,1.51,5.3,0.0,52.86,38.95,51.83,3.25,5.01,9.78,0.0,1.37,---,10.5,86.36,122.8,2024-07-13 12:00:00
13,13~14,12.44,108.04,15.65,50.88,0.22,0.05,24.3,7.99,0.71,---,9.18,---,100.09,1.32,3.89,0.0,45.56,37.26,50.82,3.22,4.94,11.88,0.0,0.94,---,9.27,86.08,129.36,2024-07-13 13:00:00
14,14~15,9.93,108.78,14.48,50.0,0.22,0.05,24.96,7.85,0.7,---,8.26,---,96.53,1.23,3.98,0.04,44.93,35.64,46.13,2.78,4.81,12.6,0.0,0.87,---,8.62,85.39,136.61,2024-07-13 14:00:00
15,15~16,8.88,106.53,11.85,42.87,0.23,0.06,25.52,4.03,0.76,---,7.06,---,87.94,1.04,3.28,0.16,42.02,30.79,47.21,2.0,3.63,12.47,0.0,0.99,---,8.54,80.28,126.96,2024-07-13 15:00:00
16,16~17,7.75,97.06,11.28,40.81,0.23,0.08,24.74,3.24,0.78,---,6.28,---,83.11,1.09,2.89,0.17,37.56,29.94,121.88,2.37,3.58,8.06,0.0,0.74,---,7.72,80.25,118.1,2024-07-13 16:00:00
17,17~18,9.31,90.28,9.14,37.99,0.22,0.07,24.98,3.0,1.19,---,7.94,---,82.3,1.21,2.99,0.17,36.95,28.1,38.38,2.38,3.51,6.87,0.09,0.75,---,8.28,80.85,117.52,2024-07-13 17:00:00
18,18~19,10.75,85.44,8.67,37.31,0.38,0.09,23.54,4.44,1.73,---,6.75,---,82.72,1.18,3.07,0.17,37.24,36.27,35.9,2.44,3.38,6.31,5.02,1.16,---,9.78,81.12,109.91,2024-07-13 18:00:00
19,19~20,11.88,84.03,8.72,36.81,0.47,0.11,25.15,3.6,1.71,---,6.43,---,78.45,3.09,3.31,0.16,39.32,36.3,39.91,2.37,3.33,5.51,4.8,0.81,---,7.13,79.43,106.54,2024-07-13 19:00:00
20,20~21,10.75,84.81,8.47,35.3,0.48,0.12,22.46,2.33,1.77,---,5.98,---,75.95,3.17,3.32,0.17,45.07,39.05,42.44,2.31,2.95,5.25,4.66,1.05,---,7.16,78.97,105.41,2024-07-13 20:00:00
21,21~22,12.18,82.91,8.68,34.41,0.47,0.11,22.33,2.36,1.72,---,3.78,---,74.56,2.81,2.95,0.17,47.24,42.28,47.12,2.25,2.69,5.3,4.61,0.82,---,8.12,78.69,104.63,2024-07-13 21:00:00
22,22~23,14.32,80.78,8.8,34.31,0.48,0.11,17.0,3.83,1.68,---,2.68,---,69.96,2.76,3.18,0.16,57.79,46.15,60.04,2.29,2.77,5.91,4.58,1.27,---,7.78,77.89,103.13,2024-07-13 22:00:00
23,23~24,15.56,74.68,8.66,33.34,0.47,0.1,15.01,4.15,1.71,---,2.75,---,69.15,2.79,3.33,0.17,60.08,43.92,62.15,2.25,2.7,5.69,4.53,1.31,---,7.72,77.45,103.17,2024-07-13 23:00:00
0,0~1,13.0,73.07,8.52,33.06,0.46,0.1,15.15,3.85,1.68,---,2.79,---,65.48,2.66,3.39,0.17,62.12,48.94,93.15,2.15,2.62,5.79,4.54,0.95,---,8.44,77.77,101.75,2024-07-14 00:00:00
1,1~2,12.87,72.53,9.07,32.4,0.47,0.11,14.06,3.99,1.69,---,2.81,---,65.95,1.42,3.44,0.16,63.03,41.35,58.16,2.1,2.71,5.28,4.54,0.77,---,6.93,77.64,100.15,2024-07-14 01:00:00
2,2~3,9.25,70.97,8.75,31.4,0.46,0.12,14.57,2.79,1.72,---,2.87,---,66.31,1.03,2.98,0.17,55.97,39.46,51.91,2.12,2.7,4.68,4.53,1.15,---,7.97,77.49,99.34,2024-07-14 02:00:00
3,3~4,8.38,70.84,8.49,31.41,0.47,0.08,15.15,2.13,1.7,---,2.69,---,65.96,1.05,3.18,0.16,54.9,34.29,86.56,2.13,2.76,5.1,4.55,0.77,---,7.75,77.89,99.11,2024-07-14 03:00:00
4,4~5,8.37,69.66,8.41,31.23,0.47,0.1,15.21,2.14,1.67,---,2.72,---,67.37,1.04,3.56,0.17,53.26,30.75,94.09,2.12,2.69,5.28,4.52,1.05,---,7.53,77.07,99.73,2024-07-14 04:00:00
5,5~6,8.44,70.07,8.7,31.5,0.33,0.09,14.86,2.67,1.65,---,2.56,---,66.26,1.31,2.76,0.17,45.35,32.2,39.94,2.28,2.76,5.34,1.96,0.82,---,7.94,77.47,99.63,2024-07-14 05:00:00
6,6~7,6.94,69.96,8.71,31.44,0.21,0.09,19.58,2.96,0.76,---,1.62,---,56.88,1.35,3.62,0.16,46.0,29.37,42.97,2.19,3.19,5.22,0.0,0.99,---,7.75,78.9,102.95,2024-07-14 06:00:00
7,7~8,7.75,74.66,8.94,32.08,0.21,0.06,21.74,3.22,0.69,---,3.35,---,59.54,1.29,3.88,0.1,46.83,29.87,43.74,2.19,3.69,5.94,0.0,0.94,---,7.21,80.1,105.54,2024-07-14 07:00:00
8,8~9,8.37,76.93,11.93,34.51,0.21,0.07,25.43,1.94,0.75,---,4.47,---,61.83,1.04,4.16,0.0,47.97,30.46,47.16,2.18,4.57,7.06,0.0,0.79,---,8.51,81.36,111.04,2024-07-14 08:00:00
9,9~10,8.38,84.13,12.01,36.35,0.21,0.07,28.18,1.62,0.7,---,5.59,---,66.07,1.34,4.2,0.0,51.54,31.41,49.66,2.29,4.94,10.34,0.0,1.83,---,8.69,82.92,118.29,2024-07-14 09:00:00
10,10~11,7.56,90.03,11.55,36.93,0.21,0.05,24.17,1.56,0.66,---,7.1,---,85.59,1.18,4.53,0.0,50.52,32.92,49.44,2.31,5.0,11.16,0.0,0.91,---,7.71,83.61,119.3,2024-07-14 10:00:00
11,11~12,9.69,89.62,12.31,38.57,0.21,0.05,25.61,3.59,0.75,---,7.27,---,91.34,1.18,4.17,0.0,48.48,45.45,46.96,2.4,4.95,12.19,0.0,0.99,---,9.6,84.83,120.73,2024-07-14 11:00:00
12,12~13,10.0,106.82,12.74,39.06,0.21,0.05,24.56,1.77,0.69,---,8.88,---,92.86,1.1,4.11,0.0,49.14,36.86,61.63,2.54,5.06,10.28,0.0,0.75,---,9.06,84.79,124.27,2024-07-14 12:00:00
13,13~14,10.37,109.06,14.59,40.69,0.22,0.06,27.69,1.59,0.69,---,8.13,---,92.98,1.36,4.84,0.0,52.55,37.09,76.41,2.65,5.07,12.37,0.0,0.82,---,9.59,85.07,126.98,2024-07-14 13:00:00
14,14~15,10.07,110.78,14.27,43.81,0.22,0.06,26.91,2.27,0.7,---,6.93,---,95.32,1.12,4.96,0.0,47.39,37.4,51.5,2.85,5.08,12.97,0.0,1.24,---,9.63,84.68,129.77,2024-07-14 14:00:00
15,15~16,14.5,117.97,12.51,45.53,0.22,0.03,25.23,3.97,0.7,---,7.53,---,93.82,1.39,4.48,0.0,44.33,36.44,49.28,3.0,5.0,13.69,0.0,0.72,---,8.84,85.05,128.9,2024-07-14 15:00:00
16,16~17,14.25,118.22,12.09,44.42,0.23,0.06,21.83,5.28,0.8,---,7.57,---,97.52,1.17,3.79,0.0,41.84,35.72,44.59,3.03,4.82,9.72,0.0,0.78,---,10.09,83.56,125.97,2024-07-14 16:00:00
17,17~18,10.81,115.46,10.84,41.44,0.21,0.05,21.64,7.72,1.18,---,7.9,---,96.66,1.36,4.63,0.13,43.96,36.55,44.75,3.34,3.81,7.94,0.1,1.05,---,8.63,83.04,124.78,2024-07-14 17:00:00
18,18~19,12.5,100.07,9.46,37.75,0.38,0.09,21.06,9.34,1.67,---,7.75,---,90.02,1.53,3.54,0.17,38.69,35.0,51.82,3.56,3.69,7.08,2.44,1.02,---,8.53,82.34,123.94,2024-07-14 18:00:00
19,19~20,13.5,96.93,9.03,36.98,0.47,0.1,20.84,8.26,1.78,---,7.82,---,90.14,3.99,3.63,0.17,40.9,37.52,56.27,3.53,3.5,6.79,2.6,1.0,---,7.88,81.35,123.0,2024-07-14 19:00:00
20,20~21,12.5,89.63,9.32,36.25,0.47,0.11,22.67,2.04,1.69,---,8.62,---,83.24,4.26,4.12,0.16,44.05,45.58,57.79,3.47,3.13,6.69,2.6,0.77,---,8.56,81.66,118.25,2024-07-14 20:00:00
21,21~22,11.75,88.06,9.56,35.63,0.47,0.1,22.52,2.17,1.72,---,8.06,---,75.55,4.12,3.52,0.17,54.19,58.2,68.31,3.44,2.82,6.19,2.6,1.33,---,9.0,80.8,115.07,2024-07-14 21:00:00
22,22~23,13.31,83.22,9.17,34.94,0.47,0.11,16.18,2.04,1.74,---,3.32,---,71.59,3.94,3.76,0.16,67.13,57.93,84.22,3.44,2.82,6.83,2.59,1.18,---,8.59,81.08,112.33,2024-07-14 22:00:00
23,23~24,17.5,81.91,9.02,34.68,0.47,0.11,14.9,2.11,1.65,---,2.81,---,70.72,4.1,3.35,0.17,79.25,66.75,108.56,3.22,2.69,6.57,2.59,0.88,---,7.51,80.41,113.03,2024-07-14 23:00:00
0,0~1,17.81,79.65,8.77,34.49,0.47,0.1,15.75,2.22,1.71,---,1.9,---,61.14,3.91,3.6,0.17,82.46,53.49,128.19,2.93,2.76,6.32,2.58,0.98,---,8.62,80.22,112.6,2024-07-15 00:00:00
1,1~2,11.63,76.76,9.2,33.87,0.46,0.11,14.94,3.12,1.68,---,1.54,---,58.08,1.88,3.3,0.16,76.45,51.36,93.62,2.6,2.68,5.87,2.6,0.79,---,7.68,79.58,110.2,2024-07-15 01:00:00
2,2~3,11.69,75.47,9.1,33.64,0.46,0.09,13.59,4.71,1.7,---,1.6,---,57.91,1.28,3.6,0.17,69.13,43.61,60.16,2.65,2.69,5.62,2.59,1.21,---,8.19,79.4,107.92,2024-07-15 02:00:00
3,3~4,10.56,75.37,8.82,33.07,0.47,0.03,13.65,4.22,1.71,---,1.52,---,55.27,1.46,3.52,0.16,65.15,39.1,54.69,2.6,2.7,5.6,2.59,0.86,---,8.1,79.37,108.14,2024-07-15 03:00:00
4,4~5,9.62,76.47,8.94,32.45,0.47,0.0,15.83,4.04,1.68,---,1.51,---,52.62,1.26,3.86,0.17,60.52,36.74,51.81,2.62,2.75,5.81,2.59,0.94,---,7.72,78.88,108.36,2024-07-15 04:00:00
5,5~6,8.94,73.32,8.87,32.77,0.32,0.0,15.87,3.82,1.6,---,1.52,---,52.9,1.38,3.0,0.17,56.74,35.63,49.79,2.57,2.81,5.85,1.04,0.82,---,7.47,80.1,108.2,2024-07-15 05:00:00
6,6~7,8.63,73.58,8.75,37.4,0.21,0.02,18.26,2.89,0.81,---,1.41,---,53.6,1.04,3.63,0.14,54.6,34.84,48.43,2.65,3.75,6.05,0.0,10.77,---,8.49,79.92,111.41,2024-07-15 06:00:00
7,7~8,10.43,77.54,9.27,45.66,0.2,0.32,25.31,2.25,0.66,---,4.5,---,55.48,1.07,3.63,0.0,53.13,33.23,49.1,2.81,4.25,7.41,0.0,13.12,---,10.38,80.72,115.28,2024-07-15 07:00:00
8,8~9,11.0,95.47,10.9,59.12,0.21,0.7,49.16,2.31,0.74,---,8.54,---,71.95,1.09,4.27,0.0,51.35,32.98,49.31,3.25,4.94,8.66,0.0,4.81,---,21.19,83.64,122.63,2024-07-15 08:00:00
9,9~10,11.19,128.49,11.33,67.35,0.22,2.33,35.26,3.77,0.75,---,12.36,---,88.23,1.31,4.02,0.0,51.25,31.3,72.97,3.63,5.62,10.12,0.0,4.5,---,24.99,96.43,131.14,2024-07-15 09:00:00
10,10~11,12.44,149.66,15.09,77.59,0.23,2.64,31.39,4.62,0.65,---,14.38,---,93.92,1.13,4.38,0.0,48.35,29.04,66.27,3.62,7.32,11.59,0.0,11.76,---,24.51,101.94,134.77,2024-07-15 10:00:00
11,11~12,14.75,156.85,15.91,80.3,0.22,2.99,32.53,3.57,0.73,---,15.81,---,94.48,1.09,4.91,0.0,49.4,28.73,46.94,4.63,6.51,12.51,0.0,18.81,---,25.94,104.06,147.68,2024-07-15 11:00:00
12,12~13,13.87,159.16,16.39,74.83,0.22,2.47,31.6,6.57,0.72,---,13.0,---,99.22,1.26,4.18,0.0,43.25,30.99,48.53,4.81,6.0,10.84,0.0,17.0,---,25.0,104.12,148.5,2024-07-15 12:00:00
13,13~14,13.82,157.0,16.91,79.71,0.23,2.82,25.94,8.86,0.7,---,13.35,---,97.6,1.21,4.59,0.0,42.58,32.8,47.38,4.44,4.81,12.28,0.0,4.5,---,27.87,106.53,154.13,2024-07-15 13:00:00
14,14~15,11.31,166.77,16.24,83.5,0.22,2.98,23.69,9.64,0.73,---,18.59,---,98.12,1.16,5.33,0.0,38.07,30.37,46.94,4.28,6.13,12.56,0.0,7.15,---,29.59,105.84,155.46,2024-07-15 14:00:00
15,15~16,11.62,166.07,15.81,84.32,0.23,2.3,30.72,9.7,0.69,---,23.72,---,101.42,1.45,3.95,0.0,44.59,32.59,43.24,4.59,6.57,13.98,0.0,20.89,---,29.28,106.21,150.39,2024-07-15 15:00:00
16,16~17,10.82,167.56,15.34,81.43,0.23,1.87,30.15,9.15,0.79,---,15.91,---,97.91,1.41,4.36,0.02,43.61,34.4,40.29,4.6,5.37,11.18,0.0,14.63,---,27.88,104.83,147.53,2024-07-15 16:00:00
17,17~18,12.37,159.16,11.91,73.16,0.22,0.06,29.4,9.02,1.23,---,9.25,---,95.67,1.25,4.03,0.17,39.33,31.36,45.94,4.5,4.06,9.5,0.03,3.45,---,14.75,101.43,145.55,2024-07-15 17:00:00
18,18~19,18.0,146.75,9.21,55.92,0.39,0.08,22.87,9.35,1.66,---,8.84,---,93.68,1.45,4.19,0.17,42.63,39.93,48.25,4.4,3.7,8.94,2.38,0.74,---,9.91,89.99,132.4,2024-07-15 18:00:00
19,19~20,14.75,125.25,9.19,46.13,0.47,0.09,22.05,9.73,1.76,---,9.15,---,90.98,4.12,3.88,0.16,51.64,44.8,55.06,3.94,3.63,9.06,2.6,0.87,---,10.12,88.0,131.17,2024-07-15 19:00:00
20,20~21,14.06,107.34,9.1,44.04,0.47,0.11,22.29,9.49,1.69,---,11.94,---,87.32,4.32,3.4,0.17,61.42,51.76,90.06,3.88,3.25,7.94,2.6,1.59,---,8.5,87.27,129.95,2024-07-15 20:00:00
21,21~22,15.94,102.53,9.24,41.29,0.47,0.1,21.24,8.98,1.75,---,9.32,---,82.57,4.2,3.73,0.17,73.28,60.3,98.85,3.68,3.06,7.28,2.57,1.05,---,11.06,80.05,125.51,2024-07-15 21:00:00
22,22~23,19.63,97.13,8.97,39.01,0.47,0.11,17.69,8.22,1.74,---,5.46,---,78.55,4.44,3.93,0.16,81.15,63.16,93.71,3.63,3.0,7.65,2.6,0.86,---,9.57,68.16,122.67,2024-07-15 22:00:00
23,23~24,22.06,97.4,8.82,37.69,0.47,0.1,16.83,5.89,1.66,---,4.13,---,76.32,3.99,3.71,0.17,93.66,64.84,170.26,3.62,2.94,7.32,2.58,0.79,---,9.47,66.08,118.09,2024-07-15 23:00:00
0,0~1,18.37,85.75,8.91,36.86,0.46,0.1,15.87,3.73,1.73,---,6.44,---,76.66,3.56,3.94,0.17,87.35,63.96,89.71,3.6,2.94,7.06,2.78,1.21,---,8.31,66.16,114.55,2024-07-16 00:00:00
1,1~2,11.38,81.38,8.69,36.34,0.46,0.08,15.74,3.08,1.73,---,3.81,---,77.2,1.51,3.71,0.16,79.0,52.13,75.6,3.59,3.0,6.37,5.28,0.83,---,8.12,64.32,113.12,2024-07-16 01:00:00
2,2~3,10.06,75.56,8.44,35.41,0.46,0.1,15.29,2.86,1.66,---,3.06,---,70.72,0.91,3.85,0.17,73.69,48.56,66.62,3.63,2.95,5.88,4.97,1.04,---,9.63,64.02,111.02,2024-07-16 02:00:00
3,3~4,9.31,74.56,8.84,35.94,0.45,0.06,18.27,2.8,1.75,---,1.94,---,62.01,0.88,3.26,0.17,70.62,42.63,56.91,3.62,3.0,5.87,4.71,0.9,---,8.34,65.06,111.4,2024-07-16 03:00:00
4,4~5,9.13,74.22,8.67,35.34,0.46,0.01,17.35,2.85,1.7,---,1.91,---,56.37,0.87,3.62,0.16,64.6,40.34,54.37,3.28,3.0,6.38,4.55,1.24,---,8.75,63.65,109.27,2024-07-16 04:00:00
5,5~6,8.25,73.03,8.85,35.41,0.32,0.0,15.78,2.87,1.58,---,2.09,---,57.05,0.86,3.55,0.17,59.48,37.83,52.47,3.1,3.06,5.97,1.95,0.76,---,8.34,63.79,108.53,2024-07-16 05:00:00
6,6~7,8.19,73.87,8.94,39.14,0.2,0.02,20.22,2.42,0.81,---,1.97,---,59.83,0.84,3.09,0.17,58.04,37.46,51.69,3.03,4.01,5.82,0.0,11.11,---,8.2,64.25,111.55,2024-07-16 06:00:00
7,7~8,10.12,76.31,9.46,46.89,0.2,0.06,25.95,1.58,0.66,---,3.37,---,59.59,1.02,3.8,0.04,57.73,37.08,56.68,3.5,4.19,5.86,0.0,13.31,---,11.62,65.22,116.54,2024-07-16 07:00:00
8,8~9,11.25,91.14,10.18,61.98,0.2,0.45,53.61,1.42,0.72,---,5.72,---,68.3,1.13,4.07,0.0,55.3,35.22,70.25,3.62,5.0,7.07,0.0,4.5,---,19.81,68.57,127.88,2024-07-16 08:00:00
9,9~10,12.81,119.43,13.24,66.67,0.21,1.65,72.53,2.85,0.73,---,11.41,---,90.82,1.02,4.05,0.0,53.62,34.63,81.91,3.97,5.13,8.53,0.01,4.9,---,26.47,84.11,139.68,2024-07-16 09:00:00
10,10~11,13.0,153.62,15.42,76.88,0.22,2.39,79.24,12.3,0.66,---,8.16,---,95.29,1.11,4.86,0.0,55.34,32.4,44.94,3.85,6.62,9.18,0.0,14.12,---,26.94,85.89,148.74,2024-07-16 10:00:00
11,11~12,14.0,159.57,16.0,84.15,0.22,2.59,82.83,11.99,0.75,---,8.31,---,100.08,1.1,5.31,0.0,49.77,31.05,42.0,3.9,6.13,10.0,0.0,19.07,---,29.03,88.22,152.01,2024-07-16 11:00:00
12,12~13,12.44,157.62,17.48,77.66,0.22,2.7,85.01,11.98,0.68,---,6.34,---,98.99,1.15,4.93,0.0,49.93,30.63,43.78,3.85,6.01,10.22,0.0,17.3,---,26.97,88.55,158.83,2024-07-16 12:00:00
13,13~14,13.06,163.41,17.63,81.88,0.22,2.7,101.8,13.75,0.68,---,8.84,---,99.95,1.08,4.51,0.0,43.79,27.45,49.16,4.25,4.87,10.45,0.0,4.43,---,25.62,89.81,157.36,2024-07-16 13:00:00
14,14~15,13.07,162.44,18.2,84.43,0.22,1.87,86.08,24.24,0.71,---,10.66,---,100.65,1.28,4.89,0.01,42.71,26.42,45.18,4.93,5.13,10.68,0.0,5.52,---,30.26,87.72,156.92,2024-07-16 14:00:00
15,15~16,11.5,150.93,17.75,74.72,0.22,2.04,69.83,20.11,0.65,---,8.47,---,99.95,1.41,3.14,0.13,36.83,27.87,39.63,4.69,4.93,10.85,0.0,19.6,---,29.81,85.15,149.3,2024-07-16 15:00:00
16,16~17,15.37,156.76,18.89,71.72,0.22,1.68,70.53,19.22,0.86,---,8.06,---,96.02,1.39,3.38,0.04,35.13,30.62,42.19,4.72,4.08,10.34,0.0,13.08,---,25.93,87.94,149.48,2024-07-16 16:00:00
17,17~18,15.13,144.96,17.45,65.91,0.21,0.79,50.39,21.24,1.2,---,7.94,---,97.88,1.17,4.0,0.17,40.05,27.58,42.78,4.75,3.89,8.91,0.47,3.91,---,17.37,93.34,146.35,2024-07-16 17:00:00
18,18~19,16.06,137.28,14.06,53.93,0.38,0.09,45.21,19.1,1.69,---,8.18,---,92.87,1.45,3.72,0.16,36.75,33.12,69.47,4.53,3.75,7.81,4.94,0.73,---,10.73,83.45,143.67,2024-07-16 18:00:00
19,19~20,13.37,124.35,13.51,50.72,0.47,0.1,40.56,17.63,1.73,---,9.26,---,89.4,4.1,3.53,0.17,46.8,40.39,68.85,3.91,3.57,7.9,4.81,0.72,---,9.09,79.98,135.28,2024-07-16 19:00:00
20,20~21,14.44,117.56,13.68,45.93,0.47,0.1,34.41,14.52,1.73,---,7.59,---,87.51,4.09,3.69,0.17,52.31,53.62,57.83,3.81,3.33,7.6,4.67,1.41,---,9.12,77.76,130.76,2024-07-16 20:00:00
21,21~22,14.38,103.5,13.36,41.81,0.46,0.1,31.8,11.14,1.78,---,3.94,---,81.17,4.36,3.75,0.16,59.09,58.73,69.01,3.81,3.01,6.97,4.61,1.0,---,9.82,75.14,128.26,2024-07-16 21:00:00
22,22~23,17.31,95.25,10.14,37.89,0.46,0.11,12.68,9.45,1.7,---,3.03,---,77.57,3.93,3.2,0.17,63.67,64.55,88.8,3.72,3.01,7.59,4.56,0.81,---,8.71,74.9,122.14,2024-07-16 22:00:00
23,23~24,17.75,88.06,9.27,35.75,0.46,0.11,11.03,9.09,1.72,---,2.0,---,66.31,3.63,3.16,0.17,73.58,66.04,156.53,3.41,3.0,7.22,4.54,1.18,---,8.98,73.4,118.36,2024-07-16 23:00:00
0,0~1,15.87,81.35,8.94,33.56,0.45,0.1,10.98,7.08,1.74,---,1.69,---,60.81,4.02,3.8,0.16,84.86,49.96,80.17,3.18,2.94,7.15,4.52,0.72,---,8.21,73.02,114.5,2024-07-17 00:00:00
1,1~2,12.07,79.31,8.64,33.33,0.45,0.09,9.71,7.23,1.69,---,1.56,---,58.32,1.74,3.6,0.17,77.04,39.26,69.58,3.19,2.82,6.41,4.51,1.01,---,7.94,72.04,111.98,2024-07-17 01:00:00
2,2~3,8.75,78.69,8.82,33.34,0.45,0.09,9.85,6.96,1.74,---,1.62,---,55.23,1.23,3.21,0.17,68.33,39.03,61.22,3.1,2.88,6.07,4.52,0.81,---,8.72,70.99,111.92,2024-07-17 02:00:00
